Brand,Group,Cardinality
Abercrombie & Fitch,Abercrombie & Fitch,2
Hollister Co.,Abercrombie & Fitch,2
Adidas,Adidas AG,2
Reebok,Adidas AG,2
ALDI Nord,ALDI Einkauf GmbH & Co. oHG,2
ALDI SOUTH,ALDI Einkauf GmbH & Co. oHG,2
Topman,Arcadia Group,2
Topshop,Arcadia Group,2
Jack & Jones,BESTSELLER,2
Vero Moda,BESTSELLER,2
Billabong,Boardriders,3
Quiksilver,Boardriders,3
Roxy,Boardriders,3
boohoo,boohoo group plc,2
PrettyLittleThing,boohoo group plc,2
Calzedonia,Calzedonia Group,3
Intimissimi,Calzedonia Group,3
Tezenis,Calzedonia Group,3
Michael Kors,Capri Holdings,2
Versace,Capri Holdings,2
GU,Fast Retailing,2
Uniqlo,Fast Retailing,2
Fruit of the Loom,Fruit of The Loom,2
Russell Athletic,Fruit of The Loom,2
Banana Republic,Gap Inc.,3
Gap,Gap Inc.,3
Old Navy,Gap Inc.,3
Champion,HanesBrands Inc.,2
Hanes,HanesBrands Inc.,2
Hudson's Bay,Hudson's Bay Company,2
Saks Fifth Avenue,Hudson's Bay Company,2
Bershka,Inditex,5
Massimo Dutti,Inditex,5
Pull&Bear,Inditex,5
Stradivarius,Inditex,5
Zara,Inditex,5
Balenciaga,Kering,4
Bottega Veneta,Kering,4
Gucci,Kering,4
SAINT LAURENT,Kering,4
CELINE,LVMH,5
Dior,LVMH,5
Fendi,LVMH,5
Louis Vuitton,LVMH,5
Marc Jacobs,LVMH,5
Bloomingdale's,Macy's Inc.,2
Macy's,Macy's Inc.,2
Converse,"Nike, Inc.",3
Jordan,"Nike, Inc.",3
Nike,"Nike, Inc.",3
Diesel,OTB Group,2
Marni,OTB Group,2
Bonprix,Otto Group,2
Otto,Otto Group,2
Miu Miu,Prada Group,2
Prada,Prada Group,2
Calvin Klein,PVH,3
Tommy Hilfiger,PVH,3
Van Heusen,PVH,3
AJIO,Reliance Retail,2
Reliance Trends,Reliance Retail,2
COACH,"Tapestry, Inc.",2
Kate Spade,"Tapestry, Inc.",2
Anthropologie,URBN,3
Free people,URBN,3
Urban Outfitters,URBN,3
The North Face,VF Corporation,3
Timberland,VF Corporation,3
Vans,VF Corporation,3
Asda,Walmart Inc.,2
Walmart,Walmart Inc.,2
Kmart Australia,Wesfarmers,2
Target Australia,Wesfarmers,2